matrix,a_star_misplaced_tile,bnb_misplaced_tile,a_star_manhattan_distance,bnb_manhattan_distance,a_star_manhattan_distance_plus_reversal_penalty,bnb_manhattan_distance_plus_reversal_penalty,avg_all,avg_a_star,avg_bnb,avg_misplaced_tile,avg_manhattan_distance,avg_manhattan_distance_plus_reversal_penalty
"[7, 2, 3, 0, 8, 4, 5, 1, 6]","{'final_iteration': 1915, 'max_depth': 19, 'solution_depth': 19}","{'solution_depth': 19, 'solution_iteration': 23431, 'final_iteration': 23758, 'max_depth': 31}","{'final_iteration': 472, 'max_depth': 19, 'solution_depth': 19}","{'solution_depth': 19, 'solution_iteration': 1246, 'final_iteration': 1249, 'max_depth': 31}","{'final_iteration': 393, 'max_depth': 19, 'solution_depth': 19}","{'solution_depth': 19, 'solution_iteration': 1010, 'final_iteration': 1013, 'max_depth': 31}",4800.0,1185.6666666666667,8414.333333333334,12836.5,860.5,703.0
"[8, 4, 1, 5, 0, 2, 7, 3, 6]","{'final_iteration': 1205, 'max_depth': 18, 'solution_depth': 18}","{'solution_depth': 18, 'solution_iteration': 11870, 'final_iteration': 11990, 'max_depth': 30}","{'final_iteration': 228, 'max_depth': 18, 'solution_depth': 18}","{'solution_depth': 18, 'solution_iteration': 1411, 'final_iteration': 1412, 'max_depth': 28}","{'final_iteration': 180, 'max_depth': 18, 'solution_depth': 18}","{'solution_depth': 18, 'solution_iteration': 446, 'final_iteration': 447, 'max_depth': 28}",2577.0,932.3333333333334,4221.666666666667,6597.5,820.0,313.5
"[8, 6, 7, 5, 4, 0, 2, 3, 1]","{'final_iteration': 88045, 'max_depth': 29, 'solution_depth': 29}","{'solution_depth': 29, 'solution_iteration': 130597, 'final_iteration': 470000, 'max_depth': 31}","{'final_iteration': 4294, 'max_depth': 29, 'solution_depth': 29}","{'solution_depth': 29, 'solution_iteration': 3940, 'final_iteration': 7840, 'max_depth': 31}","{'final_iteration': 2975, 'max_depth': 29, 'solution_depth': 29}","{'solution_depth': 29, 'solution_iteration': 1102, 'final_iteration': 4095, 'max_depth': 31}",96208.16666666667,32953.333333333336,159463.0,279022.5,6067.0,3535.0
"[5, 1, 2, 4, 0, 8, 3, 6, 7]","{'final_iteration': 2829, 'max_depth': 20, 'solution_depth': 20}","{'solution_depth': 18, 'solution_iteration': 40297, 'final_iteration': 41224, 'max_depth': 30}","{'final_iteration': 76, 'max_depth': 18, 'solution_depth': 18}","{'solution_depth': 18, 'solution_iteration': 656, 'final_iteration': 689, 'max_depth': 28}","{'final_iteration': 54, 'max_depth': 18, 'solution_depth': 18}","{'solution_depth': 18, 'solution_iteration': 504, 'final_iteration': 531, 'max_depth': 28}",7567.166666666667,1190.6666666666667,13943.666666666666,22026.5,382.5,292.5
"[8, 2, 4, 1, 3, 5, 6, 7, 0]","{'final_iteration': 5622, 'max_depth': 22, 'solution_depth': 22}","{'solution_depth': 22, 'solution_iteration': 28134, 'final_iteration': 33381, 'max_depth': 29}","{'final_iteration': 398, 'max_depth': 22, 'solution_depth': 22}","{'solution_depth': 22, 'solution_iteration': 1218, 'final_iteration': 1262, 'max_depth': 28}","{'final_iteration': 288, 'max_depth': 22, 'solution_depth': 22}","{'solution_depth': 22, 'solution_iteration': 1004, 'final_iteration': 1044, 'max_depth': 28}",6999.166666666667,2390.6666666666665,11607.666666666666,19501.5,830.0,666.0
"[3, 8, 1, 2, 0, 4, 6, 7, 5]","{'final_iteration': 34040, 'max_depth': 26, 'solution_depth': 26}","{'solution_depth': 24, 'solution_iteration': 26708, 'final_iteration': 53935, 'max_depth': 30}","{'final_iteration': 1086, 'max_depth': 24, 'solution_depth': 24}","{'solution_depth': 24, 'solution_iteration': 1595, 'final_iteration': 2136, 'max_depth': 30}","{'final_iteration': 812, 'max_depth': 24, 'solution_depth': 24}","{'solution_depth': 24, 'solution_iteration': 1184, 'final_iteration': 1628, 'max_depth': 30}",15606.166666666666,12329.333333333334,18883.0,43987.5,1611.0,1220.0
"[4, 0, 5, 8, 1, 7, 2, 3, 6]","{'final_iteration': 4377, 'max_depth': 21, 'solution_depth': 21}","{'solution_depth': 21, 'solution_iteration': 218775, 'final_iteration': 221941, 'max_depth': 31}","{'final_iteration': 350, 'max_depth': 21, 'solution_depth': 21}","{'solution_depth': 21, 'solution_iteration': 5854, 'final_iteration': 5977, 'max_depth': 31}","{'final_iteration': 282, 'max_depth': 21, 'solution_depth': 21}","{'solution_depth': 21, 'solution_iteration': 4583, 'final_iteration': 4686, 'max_depth': 31}",39602.166666666664,3545.3333333333335,75659.0,113159.0,3163.5,2484.0
"[5, 7, 4, 2, 8, 3, 6, 1, 0]","{'final_iteration': 12325, 'max_depth': 24, 'solution_depth': 24}","{'solution_depth': 24, 'solution_iteration': 58277, 'final_iteration': 75910, 'max_depth': 30}","{'final_iteration': 258, 'max_depth': 24, 'solution_depth': 24}","{'solution_depth': 24, 'solution_iteration': 1027, 'final_iteration': 1183, 'max_depth': 30}","{'final_iteration': 246, 'max_depth': 24, 'solution_depth': 24}","{'solution_depth': 24, 'solution_iteration': 850, 'final_iteration': 997, 'max_depth': 30}",15153.166666666666,4584.666666666667,25721.666666666668,44117.5,720.5,621.5
"[2, 0, 5, 6, 3, 8, 4, 1, 7]","{'final_iteration': 1552, 'max_depth': 19, 'solution_depth': 19}","{'solution_depth': 19, 'solution_iteration': 90427, 'final_iteration': 91789, 'max_depth': 31}","{'final_iteration': 149, 'max_depth': 19, 'solution_depth': 19}","{'solution_depth': 19, 'solution_iteration': 1860, 'final_iteration': 1934, 'max_depth': 31}","{'final_iteration': 102, 'max_depth': 19, 'solution_depth': 19}","{'solution_depth': 19, 'solution_iteration': 805, 'final_iteration': 859, 'max_depth': 29}",16064.166666666666,1196.0,30932.333333333332,46670.5,1041.5,480.5
"[5, 6, 0, 3, 8, 7, 1, 4, 2]","{'final_iteration': 4978, 'max_depth': 22, 'solution_depth': 22}","{'solution_depth': 22, 'solution_iteration': 5792, 'final_iteration': 12937, 'max_depth': 30}","{'final_iteration': 119, 'max_depth': 22, 'solution_depth': 22}","{'solution_depth': 22, 'solution_iteration': 646, 'final_iteration': 717, 'max_depth': 30}","{'final_iteration': 98, 'max_depth': 22, 'solution_depth': 22}","{'solution_depth': 22, 'solution_iteration': 442, 'final_iteration': 499, 'max_depth': 30}",3224.6666666666665,1931.0,4518.333333333333,8957.5,418.0,298.5
"[0, 6, 4, 5, 8, 2, 7, 1, 3]","{'final_iteration': 14268, 'max_depth': 24, 'solution_depth': 24}","{'solution_depth': 24, 'solution_iteration': 94457, 'final_iteration': 104146, 'max_depth': 30}","{'final_iteration': 953, 'max_depth': 24, 'solution_depth': 24}","{'solution_depth': 24, 'solution_iteration': 3281, 'final_iteration': 3419, 'max_depth': 28}","{'final_iteration': 611, 'max_depth': 24, 'solution_depth': 24}","{'solution_depth': 24, 'solution_iteration': 2085, 'final_iteration': 2226, 'max_depth': 28}",20937.166666666668,6099.333333333333,35775.0,59207.0,2186.0,1418.5
"[6, 4, 2, 5, 7, 8, 3, 1, 0]","{'final_iteration': 5030, 'max_depth': 22, 'solution_depth': 22}","{'solution_depth': 22, 'solution_iteration': 82027, 'final_iteration': 82327, 'max_depth': 30}","{'final_iteration': 303, 'max_depth': 22, 'solution_depth': 22}","{'solution_depth': 22, 'solution_iteration': 1835, 'final_iteration': 1835, 'max_depth': 30}","{'final_iteration': 223, 'max_depth': 22, 'solution_depth': 22}","{'solution_depth': 22, 'solution_iteration': 1347, 'final_iteration': 1347, 'max_depth': 30}",15177.5,2362.6666666666665,27992.333333333332,43678.5,1069.0,785.0
